Subject,Condition,Time_point,Value
1,4,437,1.76424443721771
1,4,438,1.6622219234705
1,4,439,1.55618374049664
1,4,440,1.44635620713234
1,4,441,1.3332327529788
1,4,442,1.21756114531308
1,4,443,1.10031602904201
1,4,444,0.982635710388422
1,4,445,0.865755574777722
1,4,446,0.750955902971327
1,4,447,0.639516077935696
1,4,448,0.532702988013625
1,4,449,0.431786973029375
1,4,450,0.338084597140551
1,4,451,0.252991519868374
2,1,401,6.52987563610077
2,1,402,6.72798931598663
2,1,403,6.92670828104019
2,1,404,7.1169940829277
2,1,405,7.29022824764252
2,1,406,7.43898552656174
2,1,407,7.55766654014587
2,1,408,7.64299237728119
2,1,409,7.69422090053558
2,1,410,7.7131290435791
2,1,411,7.70372700691223
2,1,412,7.67176997661591
2,1,413,7.62411653995514
2,1,414,7.56800699234009
2,1,415,7.51034617424011
2,1,416,7.457115650177
2,1,417,7.41289079189301
2,1,418,7.38061451911926
2,1,419,7.3615415096283
2,1,420,7.35541689395905
2,1,421,7.36078357696533
2,1,422,7.3754255771637
2,1,423,7.39680862426758
2,1,424,7.42251217365265
2,1,425,7.45054280757904
2,1,426,7.47952264547348
2,1,427,7.50869262218475
2,1,428,7.53781759738922
2,1,429,7.56692099571228
2,1,430,7.59598183631897
2,1,431,7.62462067604065
2,1,432,7.65185570716858
2,1,433,7.67595529556274
2,1,434,7.69444239139557
2,1,435,7.70428240299225
2,1,436,7.70219218730927
2,1,437,7.68507194519043
2,1,438,7.65049910545349
2,1,439,7.59717416763306
2,1,440,7.5252959728241
2,1,441,7.4367595911026
2,1,442,7.33515727519989
2,1,443,7.22555553913116
2,1,444,7.1140456199646
2,1,445,7.00713407993317
2,1,446,6.91100096702576
2,1,447,6.83077085018158
2,1,448,6.76981854438782
2,1,449,6.72925496101379
2,1,450,6.70764893293381
2,1,451,6.70101988315582
2,2,401,5.91268330812454
2,2,402,6.02718663215637
2,2,403,6.17664009332657
2,2,404,6.35799497365952
2,2,405,6.56487554311752
2,2,406,6.78816747665405
2,2,407,7.01689207553864
2,2,408,7.23930740356445
2,2,409,7.44405734539032
2,2,410,7.62131607532501
2,2,411,7.76372396945953
2,2,412,7.86708307266235
2,2,413,7.93068361282349
2,2,414,7.95730471611023
2,2,415,7.95279514789581
2,2,416,7.92539930343628
2,2,417,7.88480865955353
2,2,418,7.84112358093262
2,2,419,7.80378675460815
2,2,420,7.78062784671783
2,2,421,7.77713418006897
2,2,422,7.79596984386444
2,2,423,7.8368079662323
2,2,424,7.89652943611145
2,2,425,7.96963036060333
2,2,426,8.04893016815186
2,2,427,8.12637555599213
2,2,428,8.19390797615051
2,2,429,8.24428880214691
2,2,430,8.27176916599274
2,2,431,8.27260065078735
2,2,432,8.2452734708786
2,2,433,8.19053840637207
2,2,434,8.11118102073669
2,2,435,8.01161861419678
